Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-03-01,85.95,83.95,84.3,6936315,5890.041926,3003
2018-03-02,84.3,81.4,82.15,5009614,4130.30313,1852
2018-03-03,83.15,81.1,81.75,4764070,3917.650808,1505
2018-03-04,81.7,79,79.2,3996821,3194.854476,1840
2018-03-05,80.4,77,79.9,8699087,6849.773317,3518
2018-03-06,81.6,79.8,80,5486959,4406.673053,1910
2018-03-07,81.05,79.95,80.85,3328605,2674.812313,1174
2018-03-08,82.25,80.4,81.35,5000216,4059.5838,1582
2018-03-09,81.4,79.85,80.4,3251098,2616.082013,1280
2018-03-10,81.2,80,80.25,3876762,3112.052646,1070
2018-03-11,80.65,79.7,79.95,9813941,7852.093156,1532
2018-03-12,80.5,78.85,79.55,4114695,3269.934844,1470
2018-03-13,80.55,78.8,80.35,2206517,1766.388424,1034
2018-03-14,80.75,79.8,79.95,5279874,4226.734339,1403
2018-03-15,80.35,79.75,80,3112967,2491.023665,1426
2018-03-16,80.3,78,80,6418882,5104.763903,2580
2018-03-17,81.25,78.75,79.9,6556759,5225.32272,5077
2018-03-18,81.5,79.7,80.1,4073519,3273.340246,6660
2018-03-19,80.35,78.35,79,10620637,8428.7462,8980
2018-03-20,82.2,78.75,81.9,3657360,2954.203772,1841
2018-03-21,84.6,81.15,84.45,3298435,2745.285843,1846
2018-03-22,85.95,82.55,83.05,4973672,4190.842427,2297
2018-03-23,84.75,83.3,83.5,2956519,2478.11334,1225
2018-03-24,85.1,82.6,84.5,4231975,3546.912436,1182
2018-03-25,85.4,83.95,85,1829399,1548.864497,1249
2018-03-26,87.6,84,87.1,8597297,7426.858852,3513
2018-03-27,88.1,86,87,5792098,5037.513583,2104
2018-03-28,88.45,86.3,87.85,8423805,7369.261688,2130
2018-03-29,88.7,87.2,87.65,4719330,4142.674892,1231
2018-03-30,88.25,85.65,87.8,2340628,2041.802572,1082
2018-03-31,88.1,87,87.45,3111160,2718.324335,1047
2018-04-01,88.35,87.1,87.65,3471674,3043.500014,1020
2018-04-02,88.55,86.5,86.8,7133021,6221.726438,1498
